Customer_name,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Target
Bc7Uq2Bp3Av8El2P,3879,871.28,Bill Payment,11,Mobile,bangalore,3,41,14,Net Banking,0
Dy0Fq2Pp7Gh3Nx4P,2528,2382.83,POS Payment,,Unknown Device,delhi,0,27,14,Credit Card,0
Md7Hc0Pb1Sn1Jq8R,4202,2337.09,Online Purchase,20,Tablet,bangalore,0,19,7,UPI,0
Si3Lw7Hu8Az0Ds4V,4556,2465.1,Bill Payment,18,Tablet,kolkata,2,41,14,Credit Card,0
Jk7Fl8Vc0Nz5Og6E,4890,2680.78,Bank Transfer,21,Mobile,Ahmedabad,3,68,5,Credit Card,0
Fv5Bm2Mu6Kb8Oq7L,1646,160.71,Online Purchase,19,Mobile,hydrabad,3,35,11,Debit Card,0
Qd5Hb0At1Ox6Zr3M,3068,3433.07,POS Payment,1,Mobile,Ahmedabad,2,7,2,UPI,0
Fq6Vf9Df9Oo8Sw3P,3888,2438.52,Bill Payment,3,Mobile,pune,1,18,11,Credit Card,0
Uu0Pz3Vy3Dv6Ps8G,3214,3955.87,Bill Payment,20,,delhi,4,106,4,UPI,0
Gj0Oj9Tu4Fh1Mu7A,2297,4077.67,Online Purchase,5,Mobile,bangalore,0,13,12,Invalid Method,0
Ik3Dz9On3Kd5Jg8Z,3435,1156.52,Bank Transfer,16,Desktop,mumbai,4,29,12,UPI,0
Qq1Gb5Ib7Ve5Ik3M,1600,246.87,Bill Payment,22,Mobile,pune,1,1,6,Debit Card,0
Sj5Ph5Ic6Le6Ji4N,3363,3517.65,Bill Payment,0,Desktop,chennai,2,29,8,UPI,1
Rq5Rl6Mw9Fh1Kc1A,3061,4888.93,Bank Transfer,19,Desktop,bangalore,0,109,2,Net Banking,0
Pb7Bp9Vr0Ib2Si9H,1241,2236.06,POS Payment,9,Mobile,chennai,2,63,3,,0
Yu0At2Na2Rz6Zu0Y,3041,1301.77,Online Purchase,3,Mobile,bangalore,4,61,8,Invalid Method,0
Gu2It0Sq1Lk4Kp2C,3824,787.58,Online Purchase,0,Mobile,,1,103,1,Credit Card,0
Ny9Oq8Dw2Xr5On8G,4417,1440.79,Online Purchase,15,Tablet,hydrabad,2,16,1,Net Banking,1
Df6Br2Er9Nk0Dz0D,3612,1642.96,ATM Withdrawal,18,Tablet,,0,74,11,UPI,0
Za1Jv4Mo6Ux2Ks7G,3945,2122.25,Online Purchase,14,Desktop,Ahmedabad,3,28,14,Net Banking,0
Cw1Tw2Yk7Ur9Us3V,2363,3278.76,Bank Transfer,3,,hydrabad,2,107,13,UPI,0
Hs7Yu7Fl4Ko7Gm1S,3139,1369.45,Online Purchase,0,Desktop,hydrabad,2,78,3,,0
Xi4Nv9Ap9Xu2Oj4U,2390,259.63,POS Payment,16,Desktop,kolkata,4,65,9,Net Banking,0
Rc8Cf4Do5Kh1Pu6X,4003,1869.53,ATM Withdrawal,18,Tablet,mumbai,1,79,9,UPI,0
Ut7If4Ln3Al7Qu1H,2478,4278.87,Bank Transfer,20,Desktop,kolkata,3,18,7,UPI,0
Rq2Ik5Qb2Yt6Vw4P,4499,2494.27,Bank Transfer,13,Desktop,mumbai,3,44,6,UPI,1
Ve0Gm3Wk8Ux7Ul6Z,3556,4824.09,POS Payment,8,Desktop,chennai,3,77,4,UPI,0
Rv3Pi1Uf4Up6Yk1S,1775,2520.59,Online Purchase,14,Desktop,bangalore,2,40,12,Net Banking,0
Bi4Wl5Ct9Cl0Wv4R,1034,1383.11,ATM Withdrawal,12,Mobile,chennai,3,20,11,Credit Card,1
Hq4Ms3Sf6Vt0Kw7U,3253,970.6,ATM Withdrawal,8,Mobile,Ahmedabad,3,11,2,Credit Card,0
Qw9Oj3Yc9Le2Lf2Y,4152,3474.15,ATM Withdrawal,17,Desktop,bangalore,2,50,14,Net Banking,0
Of8Gn5Sw2Ea9Zc0P,2955,2684.22,Bank Transfer,12,Tablet,chennai,3,45,14,Debit Card,0
Mr4Ul2Cr1Ec0Za0A,2585,3021.97,POS Payment,10,Desktop,mumbai,1,8,14,Debit Card,0
Tv7Za4Fx0Dv7Fk8A,4943,3776.86,Bank Transfer,4,Desktop,hydrabad,4,114,6,Net Banking,0
Qn4Bn9Cq9He3Qo3J,4459,3630.89,Online Purchase,18,Desktop,mumbai,3,37,1,UPI,0
Da6Ew8Kw6Cd8Za2S,4073,221.6,Bill Payment,5,Desktop,kolkata,3,116,9,UPI,0
Ow5Ww2Fo7Te5Fh5V,2021,4013.85,ATM Withdrawal,2,Tablet,Ahmedabad,4,57,12,Credit Card,0
Qn6Rn3Yx1Me8Xk9P,4461,2665.85,ATM Withdrawal,15,Desktop,hydrabad,2,48,7,Net Banking,0
Zc9Bc0Zv3Jl7Gh9N,3613,1961.58,ATM Withdrawal,17,Mobile,delhi,0,30,4,,0
Wz4Ci1Jd8Bz8Vw2L,2129,2689.91,Bank Transfer,9,Desktop,,2,77,12,UPI,0
Xh3Ub5Ym8Ep5On7L,4843,3064.19,ATM Withdrawal,2,Mobile,hydrabad,2,116,3,Debit Card,0
Qo1Oi9Zn2Pm5Jn0S,4893,751.78,ATM Withdrawal,1,,kolkata,4,89,8,Credit Card,0
Ex0Kr5Cy9Qa0Wd1U,2500,2089.99,Bill Payment,0,Tablet,bangalore,3,16,11,Credit Card,0
Ll0Hs5Jw7Lj6Pu3C,1702,1681.25,POS Payment,15,Mobile,hydrabad,0,10,5,Net Banking,0
Vu8Yd3Va7Dw2Sx2Y,3449,1755.29,Online Purchase,15,Tablet,chennai,1,9,1,Credit Card,0
Sp0Mq0Fa2Fi6Wv3N,3777,461.22,Bank Transfer,22,Mobile,kolkata,4,104,1,UPI,0
Wv0Cf9Ui9Lq2Hz5J,2579,803.42,Online Purchase,21,,Ahmedabad,4,67,3,Debit Card,0
Jt3Wz2Lb4Ib5Ce1Z,1161,813.35,POS Payment,3,Tablet,,2,28,11,UPI,0
Vs8Ps3Uz9Co8Oz6A,1201,1869.26,Online Purchase,12,Desktop,hydrabad,3,79,8,,0
Vl8Td2Vq9Hh5Mf1T,2981,4472.99,Bank Transfer,18,Tablet,bangalore,0,100,14,Credit Card,0
Jz1Sj9Om9Xu8Fz0K,1995,1034.11,Bill Payment,5,Tablet,bangalore,1,51,2,Net Banking,0
Ik2Xw1Mm0Zs4Vz6X,3317,2083.88,Online Purchase,15,Tablet,mumbai,4,30,8,Credit Card,0
Kh5Bv8Ym1Ns3Rp7U,4934,1561.49,POS Payment,3,Desktop,kolkata,0,117,6,Net Banking,0
Bb1Og2Md0Ag4Sw7J,1815,3937.98,Bank Transfer,5,Desktop,bangalore,3,119,13,Debit Card,0
Op9Xs9Sm4Xp0Ip4M,4342,255.38,POS Payment,6,Tablet,delhi,2,41,1,Credit Card,0
Yq9Py1Ph5Fa6Iv0Q,1455,,Online Purchase,18,Mobile,,1,116,11,UPI,0
Zc1Hi1Br8Uu7Bz2K,4533,1057.15,Bank Transfer,19,Desktop,delhi,0,47,13,,0
Rp0Ku4Au3Nd4Hp3Z,4798,4964.85,Online Purchase,13,Mobile,bangalore,0,58,4,Debit Card,0
Vf3Zq5Nj4Pv5Qz6V,2275,2856.02,ATM Withdrawal,12,Mobile,hydrabad,3,44,11,Net Banking,0
Yf4Om7Ws1Nq0Qh9A,2016,699.1,Bank Transfer,21,Tablet,,4,38,1,Credit Card,0
Cr7Dd7Np0Rq4Se3Y,4773,1364.63,Online Purchase,17,Tablet,hydrabad,3,3,10,,0
Dm1Yb5Rn5Mf9Cp9L,3343,843.27,Bank Transfer,23,Desktop,Ahmedabad,4,86,10,Debit Card,0
Mm5Pl7Zv2Qn9Ho2R,4796,627.4,Bill Payment,18,Tablet,delhi,0,34,1,UPI,0
Jh4Xq7Ad8Ny9Cy1K,3767,3986.92,ATM Withdrawal,2,Mobile,bangalore,3,109,11,Credit Card,0
Uy8Xe8Gd3Fk6Kj7O,4820,2481.28,POS Payment,4,Tablet,Ahmedabad,2,80,5,Debit Card,0
Vs1Ly4Zn2Yy3Ey0H,1337,3157.89,Online Purchase,9,Desktop,delhi,2,43,1,Credit Card,0
Gk3Le8Oc2Tm8Ym6S,1878,1659.6,POS Payment,6,Tablet,bangalore,0,11,7,Debit Card,0
Da4Xg0Az4Cn2Qv0C,2076,2770.71,Online Purchase,14,Tablet,delhi,0,90,4,Credit Card,0
Rg7Rh0Sj0Cc7Jq0M,1791,1291.56,Bank Transfer,23,Mobile,bangalore,1,4,8,,0
Gx8Fw3Zy4Xw3Gd6J,4993,1543.64,POS Payment,22,Tablet,mumbai,2,3,13,Debit Card,0
Gb2Kb5Ec0My6Gs5G,3264,3262.93,ATM Withdrawal,23,,delhi,0,5,6,UPI,0
Oi3De2Ug1Ew0Rv4D,1763,756,Online Purchase,23,Tablet,pune,0,85,10,Net Banking,0
Nu5Fi9Zn3Mv4Jm7O,3235,3088.02,POS Payment,17,,mumbai,1,91,3,Credit Card,0
Ik3Tw7Tb8It1Ie6D,1379,4261.91,Online Purchase,,Tablet,delhi,0,112,5,Net Banking,0
Hw5Bv0Zh4Bf2Mf4N,1492,606.51,Bill Payment,17,,,4,42,8,Debit Card,1
Xx7Yn4In4Cg1Vv5G,4112,4487.82,Bill Payment,8,Desktop,mumbai,2,83,14,Net Banking,0
Gu9Oh5Dl5Hv4Cj9V,2180,401.83,POS Payment,3,Desktop,Ahmedabad,2,49,2,UPI,0
Xn1Ck7Be0Oh0Wb5F,3062,1747.8,Bill Payment,21,Desktop,hydrabad,2,102,7,Credit Card,0
Fv4Lw3Tr4Zb5Pc7U,4884,,ATM Withdrawal,14,Mobile,pune,0,115,13,Debit Card,0
Ll0Hc9Gl4Zs1Ep1F,1064,2799.28,POS Payment,22,Desktop,Ahmedabad,1,54,8,Debit Card,0
Ev6Ih4Wc5Oj9On9I,4928,486.47,Bank Transfer,0,,pune,2,12,14,Net Banking,0
De9Lt3Jy3Pl5Xa6D,4910,3995.57,POS Payment,14,Tablet,Ahmedabad,2,12,3,Debit Card,0
Jn2Qn6Tp6Rk9Xs5Z,3568,4865.9,Bank Transfer,23,Tablet,mumbai,1,72,14,Credit Card,0
Eq5Ja0Tt4Wa4Ud5H,2367,910.24,Bill Payment,10,Desktop,mumbai,2,80,14,Credit Card,0
Ap7Ma5Af1Uw1Oa6N,2152,4476.18,POS Payment,0,Tablet,Ahmedabad,1,83,9,Credit Card,0
Ke1Kk0Hx2Lu7Jy2A,3027,2786.26,ATM Withdrawal,23,Tablet,,2,27,3,UPI,0
Vk3Oa5Ds2Zk0Sw9U,3695,4679.99,Bill Payment,13,Desktop,mumbai,1,40,7,Credit Card,0
To6Xb4Wd8Ci7Qo9T,2495,884.55,Bill Payment,14,Tablet,bangalore,3,93,7,Net Banking,0
Sq1Mi0Wq3Nz2Ox0U,4134,3961.15,Bill Payment,16,Tablet,pune,4,4,7,UPI,0
Li5Wn1Xa0Yw6Uk5U,2162,303.61,Bank Transfer,1,Mobile,pune,4,69,7,Net Banking,0
Bg8Fb4Fz1Lv9Lz4L,2522,4416.57,Bank Transfer,17,Tablet,Ahmedabad,1,16,14,Net Banking,0
Rn6Tk4Mx2Cv7Px6R,3640,3372.43,ATM Withdrawal,19,Mobile,kolkata,0,65,12,UPI,0
Tu2Lf0Dw6Xr0Vu4R,1391,,Bank Transfer,17,Desktop,mumbai,4,69,11,UPI,0
Lq0Og1Lg2Yl3Ii2Z,2698,956.38,Online Purchase,21,Desktop,delhi,2,23,10,Net Banking,0
Hj5Om8Oj0Iu8Rd0V,1418,4083.58,Online Purchase,12,Desktop,Ahmedabad,0,91,10,Debit Card,0
Tj3Pm8Yc9Zd7Kh3G,3336,3018.19,POS Payment,6,Tablet,chennai,4,5,8,UPI,0
Eg7Cy4Qp6Ei5Ea1J,1378,1805.28,Bill Payment,0,Tablet,bangalore,3,112,7,UPI,0
Qy3Qq3Jy8Nl6Kf8A,2796,2221.96,Online Purchase,1,Tablet,bangalore,0,11,11,Net Banking,0
Yz9Cs7Nq8Vm1Ih7F,4561,4133.58,Bank Transfer,22,Desktop,hydrabad,4,70,12,Net Banking,0
Qc6Vd3Ld1Bi0Kw2K,3278,1697.94,ATM Withdrawal,18,Tablet,pune,0,114,3,Credit Card,0
Oi2Vu3Xw2Vp3Jc2K,4065,452.72,Bank Transfer,15,Desktop,kolkata,0,72,2,Debit Card,0
Rn1Kl0El4Nd5Qm4O,3088,4556.85,Bill Payment,4,Mobile,bangalore,2,93,7,UPI,0
Lo7Br4Xw9Nd4De2P,4099,1939.78,Bill Payment,1,Desktop,hydrabad,4,27,12,Debit Card,0
Ya6Ht9Th3Yr9Ln9P,3182,1745.2,Online Purchase,12,Mobile,pune,2,48,3,Net Banking,1
Zm2Xu3Ps7Ib1Xr1C,1200,1025.98,Online Purchase,18,Mobile,kolkata,0,13,2,Credit Card,0
Ei6Nw6Cc7Df1Nd2A,2863,4487.63,Bank Transfer,10,Tablet,bangalore,4,29,8,Net Banking,0
Js3Gx2So3Yy1Dk3N,1779,1091.44,POS Payment,21,Desktop,hydrabad,1,65,14,UPI,0
Lj2Tx0Ec3Tx3Pk8O,3977,,Bank Transfer,14,Desktop,bangalore,4,74,4,Net Banking,0
Jb5Me8Dj9Ov3Ft6Q,4104,4404.42,Online Purchase,,Tablet,,2,36,9,Net Banking,0
Ae1Yk4Jm1So6Nd7U,4119,179.39,POS Payment,22,Desktop,mumbai,2,66,12,Net Banking,0
Qm8Ww3Je7Kf4My3U,1502,49997.8,POS Payment,3,Desktop,hydrabad,3,108,8,UPI,0
Cr3Ca8Kn4Sx9Ie0H,3454,2055.94,Online Purchase,12,Mobile,hydrabad,4,68,13,UPI,0
Mm8Dn7Ww7Oe8Fp5S,4645,3291.58,Bank Transfer,7,Unknown Device,delhi,0,38,3,Net Banking,0
Jg0Nm0Bs8Sn8Fb5W,2751,1865.16,ATM Withdrawal,14,Tablet,,1,96,1,Credit Card,0
Nq1Ji1Gb8Kh8Yn0F,1804,3479.1,Online Purchase,1,Mobile,delhi,2,14,11,Invalid Method,0
Lb2Sq2Qo8Or3Lk5N,3146,1275.2,Bank Transfer,19,Mobile,chennai,1,97,11,Net Banking,0
My1Tj9Uq4Jl6Mz9A,3731,114.54,ATM Withdrawal,,Tablet,delhi,3,86,2,UPI,0
Dy6Ii6Rs9Sg3Eq1N,2895,4739.2,Bill Payment,2,Tablet,chennai,3,82,12,Debit Card,1
Tb3Mh6Bh9Xb2Cq7Q,3773,86.76,Bill Payment,3,Tablet,hydrabad,4,117,6,UPI,0
Yo7Lb0Ky7Lo2Pc7T,2570,4121.38,Bill Payment,4,Mobile,kolkata,3,76,13,Net Banking,0
Na3Wh6Fp6Yz1Bs1F,1960,849.84,ATM Withdrawal,4,Desktop,mumbai,2,76,7,UPI,0
Oc8Up8Rh2Cs4Qk6B,4810,1964.14,POS Payment,12,Tablet,chennai,0,6,8,Net Banking,0
Tg9Ni2Kr9Cq9Rj7X,3660,4113.35,Bill Payment,19,Tablet,chennai,0,5,5,Credit Card,0
Qw2Uk2Xp3Nl1Uf5V,2485,1033.63,Bill Payment,11,Tablet,Ahmedabad,0,11,8,UPI,0
Xp4Er9No1Iw7Wq2W,3690,4329.21,POS Payment,22,Mobile,chennai,0,86,6,Net Banking,0
Un3Na7Wv9Ic9Tp8T,4840,2491.31,ATM Withdrawal,,Desktop,,1,54,4,UPI,0
Re9Bp7Hk1Ha4Qa7E,2028,1833.94,ATM Withdrawal,15,Desktop,kolkata,0,117,12,Debit Card,0
Bx0Yq5Ti9Ip0Nv4K,4289,3313.88,POS Payment,20,Mobile,mumbai,3,81,2,Credit Card,0
Bf9Bh2Dn6Vl1Sb5T,1502,1710.24,Online Purchase,2,Mobile,mumbai,4,76,3,UPI,0
Vl0Kg4Rn4Iv8Pg8X,3814,1739.71,POS Payment,19,Mobile,hydrabad,0,2,8,Net Banking,0
Qp0Wb6Sp8Aj0Dg9U,1397,3668.96,Bank Transfer,2,Unknown Device,kolkata,2,102,9,Debit Card,0
Fa0Fg6Ys5Qd6My7V,1870,1552.61,Bank Transfer,10,Desktop,hydrabad,0,95,11,Debit Card,0
Ho5Mj1Ic9Yt4Xb9V,3842,1007.86,Online Purchase,5,Tablet,pune,3,78,13,,0
Go1Og8Nn7Ah3Ct2L,1392,4039.19,Online Purchase,13,Desktop,chennai,1,33,2,UPI,0
Pz3Tc0Mf8Wh8Ts9W,1206,4027.83,Bank Transfer,3,Desktop,hydrabad,1,34,10,UPI,0
Xf8Yh7Ks8Qd7Ve4T,2038,2490.44,POS Payment,1,Desktop,pune,3,101,12,UPI,0
Tl4Og4Jz9Ob0Az9P,2881,2635.64,ATM Withdrawal,14,Desktop,delhi,0,63,2,UPI,0
Db2Fj3Ty4Fw5Wi8P,4625,3481.9,Bank Transfer,,Tablet,delhi,3,65,13,Credit Card,0
Bf6Jg4Pk0Mg2Ws3P,3939,,POS Payment,11,Mobile,kolkata,3,13,14,Debit Card,1
Ef3Ir7Os3Qq6Jh2X,2484,2088.11,Bank Transfer,13,Mobile,chennai,3,1,3,Credit Card,0
Qm3Vi6Tc6Ik8Lp1E,4762,4974.5,ATM Withdrawal,17,Desktop,kolkata,2,27,13,Debit Card,0
Vj5Az7Ed2Be5Jm2D,4646,742.46,Bank Transfer,13,Desktop,bangalore,3,20,10,UPI,0
Dz7Ty1Oh6Kh4Gy9Q,1863,2965.68,Bank Transfer,3,Tablet,Ahmedabad,0,59,7,UPI,0
Qs5Ig9Dk1Hz6Jx1C,3790,4429.89,ATM Withdrawal,17,,hydrabad,1,39,6,UPI,1
Aw1Rr0Xe6Qg4Km4G,4312,3437.64,Bill Payment,12,Tablet,delhi,1,16,4,Debit Card,0
Fn7Jh6Mm7Wo5Sf2Q,1563,4405.21,Bank Transfer,16,Desktop,chennai,2,48,3,UPI,0
On2Bl0Em9Ld6Bo4M,2020,1684.99,Bank Transfer,0,Mobile,pune,1,105,9,Net Banking,0
Kj4Tl9Xi0Nc7Gc6I,1095,1363.6,Bank Transfer,15,,bangalore,1,69,14,Net Banking,0
Ra0Ry5Jk1Lx0Iw5I,2923,4257.11,Online Purchase,6,Desktop,chennai,3,42,10,UPI,0
Sv2Me6Ja9Wk6Sl8D,2757,1973.6,Online Purchase,22,Tablet,hydrabad,1,8,9,Credit Card,0
Bw7Ne7Ej5Dv8Fo1L,3532,3549.86,ATM Withdrawal,7,Desktop,hydrabad,3,52,13,Debit Card,0
Tk3Sx3Xf3Dr2Wr0O,4478,743,POS Payment,18,Mobile,delhi,1,7,12,Credit Card,0
Gh7Al3Nl7Ck8Qv6H,3278,3780.41,Online Purchase,13,Mobile,hydrabad,2,89,11,Net Banking,0
Vd1Ck4Jt0Bz2Wu0A,3796,2747.17,ATM Withdrawal,19,Tablet,kolkata,3,3,1,Credit Card,0
Dt9On1Sm0Fw8Tw8N,2678,1346.72,Online Purchase,18,Mobile,bangalore,3,7,11,,0
Jp1Qc7Gk0Se8Ox0Z,4242,2475.05,POS Payment,17,Tablet,kolkata,4,5,14,Invalid Method,0
Id4Qt9Pq9Ba5Hu3V,1540,3486.23,Online Purchase,21,Mobile,bangalore,0,98,9,UPI,0
Oi4Lb1Ou0Sc3Ci6Q,2059,64.37,Bill Payment,18,Tablet,chennai,3,80,1,,0
Mk6Gt7Pm4So3Rv0X,3572,3189.15,POS Payment,13,Mobile,hydrabad,2,54,12,,0
Fs3Yz3Fp6Bk6Cn5T,2183,2710.25,POS Payment,3,Tablet,mumbai,4,33,13,Credit Card,0
Hw3Dt9Lz6Th0Yg0L,4910,1105.33,Online Purchase,16,Mobile,Ahmedabad,4,7,14,Net Banking,0
Mp3Fl3Rc6Tn6Xo3F,2722,3766.14,Online Purchase,10,Desktop,delhi,4,98,13,Debit Card,0
Bg5Oh7Kn8Vk2Rk1Q,4314,1520.79,Bank Transfer,23,Tablet,mumbai,4,83,13,Net Banking,0
Nq7Fz2Bj1Il1Tg7K,4157,1387.92,Bank Transfer,17,Mobile,mumbai,1,119,7,Net Banking,0
Ev5Ty7Si3Pq2Qv8J,2819,2358.74,POS Payment,12,Mobile,mumbai,3,106,14,Net Banking,0
Ts9Fi6Qn8Zt6Jk4A,3625,3382.37,Bank Transfer,8,Desktop,,3,30,11,,0
Fl5Mb7Rw3Tw3Cj3K,3729,4644.59,Bank Transfer,6,Tablet,mumbai,1,59,7,Debit Card,0
Jq3Ia6Re5Co0Op1A,3604,711.08,Bank Transfer,,Mobile,chennai,2,61,4,Net Banking,0
Rp0Qm4Gu9Ss4Yc5X,2597,1985.36,Bill Payment,0,Tablet,chennai,4,8,12,UPI,0
